
LUIS,2023:56:04/22/23,22:56:29,Registrado
SARLETT,2023:56:04/22/23,22:56:39,Registrado
LUIS,57:04/22/23:2023,22:57:07,Salida
LUIS,58:04/22/23:2023,22:58:05,Salida
LUIS,59:04/22/23:2023,22:59:06,Salida
LUIS,00:04/22/23:2023,23:00:26,Salida
LUIS,04:04/22/23:2023,23:04:39,Salida
LUIS,05:04/22/23:2023,23:05:00,Salida
LUIS,06:04/22/23:2023,23:06:00,Salida
LUIS,07:04/22/23:2023,23:07:17,Salida
LUIS,08:04/22/23:2023,23:08:00,Salida
LUIS,09:04/22/23:2023,23:09:00,Salida
LUIS,12:04/22/23:2023,23:12:15,Entrada
LUIS,13:04/22/23:2023,23:13:00,Salida
SARLETT,13:04/22/23:2023,23:13:14,Entrada
LUIS,14:04/22/23:2023,23:14:00,Entrada
LUIS,15:04/22/23:2023,23:15:00,Salida
SARLETT,15:04/22/23:2023,23:15:24,Entrada
LUIS,16:04/22/23:2023,23:16:00,Entrada
LUIS,17:04/22/23:2023,23:17:01,Salida
SARLETT,17:04/22/23:2023,23:17:25,Entrada
LUIS,18:04/22/23:2023,23:18:01,Entrada
SARLETT,18:04/22/23:2023,23:18:16,Entrada
SARLETT,19:04/22/23:2023,23:19:25,Salida
LUIS,19:04/22/23:2023,23:19:29,Entrada
LUIS,20:04/22/23:2023,23:20:00,Salida
SARLETT,20:04/22/23:2023,23:20:11,Entrada
LUIS,21:04/22/23:2023,23:21:02,Entrada
